FID,ID,COMPANY,SAMPLE,TYPE,MESH,DATUM,PROJECTION,EASTING,NORTHING,LONGITUDE,LATITUDE,WGS84,WGS840,REPORTNO,LITHOLOGY,HORIZON,REGOLITH,METHOD,AG_PPB,AS_,AU_PPB,AU1_PPB,AU2_PPB,BI,CO,CU,HG,MO,NI,PB,PT_PPB,SB,SN,TE,U,W,ZN
1637,3155651,JB AW,DS3290, , ,MGA94,MGA56,429651,7101051,152.296,-26.2084,152.296,-26.2084, , , , , ,0,4,0.00005,0,0,0,12,19,0,0,7,0,0,0,0,0,0,0,0
1638,3155652,JB AW,DS3291, , ,MGA94,MGA56,429679,7101051,152.296,-26.2084,152.296,-26.2084, , , , , ,0,14,0.00005,0,0,0,15,45,0,0,7,0,0,0,0,0,0,0,0
1639,3155653,JB AW,DS3292, , ,MGA94,MGA56,429700,7101051,152.296,-26.2084,152.296,-26.2084, , , , , ,0,8,0.00005,0,0,0,11,20,0,0,6,0,0,0,0,0,0,0,0
1640,3155654,JB AW,DS3293, , ,MGA94,MGA56,429729,7101051,152.297,-26.2084,152.297,-26.2084, , , , , ,0,4,0.00005,0,0,0,10,12,0,0,7,0,0,0,0,0,0,0,0
1641,3155655,JB AW,DS3294, , ,MGA94,MGA56,429750,7101049,152.297,-26.2084,152.297,-26.2084, , , , , ,0,7,0.00005,0,0,0,13,16,0,0,9,0,0,0,0,0,0,0,0
1642,3155656,JB AW,DS3295, , ,MGA94,MGA56,429700,7101152,152.296,-26.2074,152.296,-26.2074, , , , , ,0,3,0.00005,0,0,0,9,10,0,0,4,0,0,0,0,0,0,0,0
1643,3155657,JB AW,DS3296, , ,MGA94,MGA56,429725,7101150,152.297,-26.2075,152.297,-26.2075, , , , , ,0,3,0.00005,0,0,0,9,11,0,0,7,0,0,0,0,0,0,0,0
1644,3155658,JB AW,DS3297, , ,MGA94,MGA56,429750,7101150,152.297,-26.2075,152.297,-26.2075, , , , , ,0,3,0.00005,0,0,0,16,13,0,0,5,0,0,0,0,0,0,0,0
1645,3155659,JB AW,DS3298, , ,MGA94,MGA56,429675,7101050,152.296,-26.2084,152.296,-26.2084, , , , , ,0,6,0.00005,0,0,0,10,12,0,0,5,0,0,0,0,0,0,0,0
1646,3155660,JB AW,DS3299, , ,MGA94,MGA56,429650,7101150,152.296,-26.2075,152.296,-26.2075, , , , , ,0,2,0.00005,0,0,0,12,16,0,0,7,0,0,0,0,0,0,0,0
